,product_url,number_of_bids,Name,color,number_of_views,Price,pic,Number sold,ship,SellerFeedback
1,http://www.ebay.com/itm/Apple-Iphone-6-16-64-128-GB-FACTORY-UNLOCKED-PHONE-LTE-IOS-9-4-8-0MP-HD-/322514407449?var=&hash=item4b175b5019:m:m2V08xcWcAr8pi35aVwCl4w,NA,Apple Iphone 6 (16 / 64 / 128 GB)  FACTORY UNLOCKED PHONE LTE  IOS 9.4 8.0MP HD, iPhone 6,259 viewed per day,US $289.50,http://i.ebayimg.com/images/g/rgsAAOSwGJlZFdiz/s-l300.jpg,122 sold,FREE,99.3% ÊPositive feedback
2,https://pulsar.ebay.com/plsr/clk/0/SADS/9?pld=%7B%22mecs%22%3A%222629995979025f99cb09f6b44f50b8b83ecab4caa104%22%2C%22enc%22%3A%22AQABAAACkLmQa24OtTHRaocrSZUBEXcdD5fvXw0RPepSjuUFZesgs33ZfZgpfbR3mJaQv%2F%2FBva3xhXacJhGZstN6y5A8TRo3keOdVWntLeM6YypzOb%2FJPSMiQtSYkmDhcrdkQYObjVv4jJppNSzPG7G5vkwUFYUQRXaNvO%2BitbN15nrN8q%2FHTJmZcXiQREGRWPfb9Jh7qefGYzAT78rzvpZz5sOEs509hsGhXlpPV9M42bpEK1A9M208IGPGsp5khbtEjQshizI2YV472GC90NV7F6%2BBg1SgYkrvCBKN3f5ukSFoMKaXV6LRaEo9DJ7wpBCo2garEmKYqSZE7pNDqGFQDrKZTKbShQAc%2BMHerTlL%2F0kpTvR%2FYee6oBfGDPa%2FcGmwKjgiyuiwcHjuno52uzizewNnAlSqk6oc7RYASxmNBz9DwbM%2BJqPlaUIRMWfV%2B0XLTFQrqjjfMnRz2hVNkvjp%2F6Atc3H3ggL16bgSyw1e5QvcxlD%2FAAVQP%2FOhJdgvoiGDsV4Mfw7Gw8MXA4fk8qrlcMuaFLF7fuLRg61Q2WQh7r68oPTjMluGZ3jggOKRsCLrid66Pf8K7mQdf%2F6y20f7g%2FL1PDJNPmpTs65XWhyGMPuIftbWPmqb5vZIVJg5etLx%2FkG0AVfg1aqqX3XF%2B%2Fl6ZsBUPmQrGANc1CH9qGF%2BWn3jtFXGCeW%2FxZ02sKdLOVvvs%2BboQb2LiiqtHEH60IQts7k2r4QlNqgEPfuktwlG%2BW46KVddjdz5D5zNktKLbv6VkFdf9w89V9kTRc0V6BKytaCovrBc%2BJvIeCTC0t8bz063k%2Bc2lG3b5iKUHBOUzpcTws89OVelpCfWKO5PNGWGWLCxBty9a3XcOK1UgRziWA2ff0G2%22%7D,NA,NA, NA,NA,NA,NA,NA,NA,NA
3,https://pulsar.ebay.com/plsr/clk/0/SADS/9?pld=%7B%22mecs%22%3A%223917945891046a43ce313ec04fca84478a85a64359ba%22%2C%22enc%22%3A%22AQABAAACkLmQa24OtTHRaocrSZUBEXdsWGQXyB72ojECImQKOn94%2B5Sjk8Tc5bzxZUaVeIzjPocPL8lmEIKbKqf0eDw%2FohxWb4J1V4MeY%2BssCQpxp0hL1dmd0BhY2SHr50s4V41cBcZOeODHsi7MdyD89FGQWMNWMF2XVwN59cvJ2ptn82JD1R9UdBx9vsZd7QEI6rZn03cOo%2Bs9tlRt466rytDeHaT%2FwZACQ329TKgEhZMj4FzeUvhYaKnLaMX%2B49Sph0MDTsSJmjeLzCWhSJRgSyRKjHzsDsLEbXGNJkcUhkPRW%2FW1%2F81guk1LJwK3D9rDu9Emr8PkFjjE%2FgYixssqiqTlGaDKYgrV3uEvT7IOgwENUbVBnC790%2BvSKeqszFEZhfNUxK3ye8s6r19nwf0clBZxT5ZiuN1%2FjGnVO7v%2B3NIQ8KPgAdyor5yhgbHyTxQBnplyPyaKKgEkSVk58LgvTiEybxAh9o8LadThLWQhxxzLEMprUr%2ByFc%2B%2BpzvomEB17bjzVfEKPynDqwMKh4dOvZEAtsExvNK59faPTjEil0dve3wBfoecg8KBZuL4eTuV06loW5LJmQ53h24fCTFjBuhqKXMA3kYOf9QqsrAbJaMmuvBeWi5ocsp5HCnrFmqS8L%2FA8YWEHPlippVDyMLJ9L42XgUjVAI79wZw7ozVU%2BEI3zlBcZmSnzyOqyMaWkh1th569GlyFR0lZRTS5Ep5lF5LB1ERC8qse2nmrAdnVqwOQKk%2F7lrtUdNx602yzBMz1%2Br59tUPQ6hptXGdy1H%2BVw8Vuf%2FAqjpDW8aYX0WeGkM5WA9LGuElEuSXfJk40pjmeMsACFyg9PZp4QBt%2B9z3XYEbSBraqjal6ZxBH9XgQUw7P4rY%22%7D,NA,NA, NA,NA,NA,NA,NA,NA,NA
4,http://www.ebay.com/itm/Apple-iPhone-6-16GB-Factory-Unlocked-TMobile-AT-T-Metro-PCs-Cricket-/252679872668?var=&hash=item3ad4e4e09c:m:mShsNknAHYl9qraHCJxYXZg,NA,"Apple iPhone 6 16GB ""Factory Unlocked"" TMobile AT&T Metro PCs Cricket ", Gold Gray Silver,10 watched in last 24 hours,US $244.00,http://i.ebayimg.com/images/g/disAAOSwi7RZHSK5/s-l300.jpg,54 sold,FREE,99.4% ÊPositive feedback
5,http://www.ebay.com/itm/Apple-iPhone-6-16GB-Verizon-GSM-Unlocked-4G-LTE-Space-Gray-Silver-Gold-/131746968922?var=&hash=item1eacbb355a:m:mav9jBuvb4ahkI4kquxXmMQ,NA,Apple iPhone 6 16GB Verizon + GSM Unlocked 4G LTE - Space Gray Silver Gold, Space Grey Silver Gold[out of stock],109 viewed per day,US $219.97,http://i.ebayimg.com/images/g/ppAAAOSwal5YG~jJ/s-l300.jpg,"1,354 sold",FREE,98.7% ÊPositive feedback
6,http://www.ebay.com/itm/Apple-iPhone-6-4-7-64GB-GSM-UNLOCKED-Smartphone-SRF-/331991401144?var=&hash=item4d4c3ac2b8:m:mFgTXZQKUnPN7WArA7yG8cw,NA,"Apple iPhone 6 4.7"" 64GB GSM UNLOCKED Smartphone SRF", Gold[out of stock] Silver[out of stock] Space Gray,117 viewed per hour,US $259.99,http://i.ebayimg.com/images/g/JdIAAOSwpLNX9W2~/s-l300.jpg,"8,597 sold",FREE,98.4% ÊPositive feedback
7,http://www.ebay.com/itm/Apple-iPhone-6-16GB-Factory-Unlocked-Space-Gray-Silver-Gold-AT-T-T-Mobile-/122073442272?var=&hash=item1c6c24e7e0:m:mav9jBuvb4ahkI4kquxXmMQ,NA,Apple iPhone 6 16GB Factory Unlocked Space Gray Silver Gold AT&T T-Mobile, Space Grey Silver Gold,7 viewed per hour,US $209.97,http://i.ebayimg.com/images/g/JKsAAOSw44BYG~W7/s-l300.jpg,407 sold,FREE,98.7% ÊPositive feedback
8,http://www.ebay.com/itm/Apple-iPhone-6-16GB-Grey-Factory-Unlocked-Smartphone-Starting-99-N-R-/142390238539?hash=item21271e9d4b:g:2kAAAOSwurZZIff5,68,Apple iPhone 6 - 16GB - Grey (Factory Unlocked) Smartphone Starting @ $.99 N/R, NA,NA,NA,http://i.ebayimg.com/images/g/2kAAAOSwurZZIff5/s-l300.jpg,Located in United States,$9.50 ,100% ÊPositive feedback
9,http://www.ebay.com/itm/Apple-iPhone-6-16GB-64GB-GSM-Factory-Unlocked-Smartphone-Gold-Gray-Silver-/311716985269?var=&hash=item4893c7b9b5:m:m4lZjoT-_S0xblU8hX7BH8A,NA,"Apple iPhone 6 - 16GB 64GB GSM ""Factory Unlocked"" Smartphone Gold Gray Silver", Space Gray Silver Gold,NA,US $224.99,http://i.ebayimg.com/images/g/4gAAAOSwNRdX61Up/s-l300.jpg,258 sold,FREE,98.8% ÊPositive feedback
10,http://www.ebay.com/itm/Apple-iPhone-6-64GB-Space-Gray-Verizon-Smartphone-/292129758675?hash=item44044a5dd3:g:5-4AAOSwCQZZDfHR,10,Apple iPhone 6 - 64GB - Space Gray (Verizon) Smartphone , NA,NA,NA,http://i.ebayimg.com/images/g/5-4AAOSwCQZZDfHR/s-l300.jpg,Located in United States,$10.00 ,100% ÊPositive feedback
